Tweet Text;Tweet Datetime;Tweet Retweet Count;Tweet Favorite Count;Twitter @ name;Twitter User Location;URL in Bio;Users Current Following Count;Number of accounts user is following;Users Tweet Count;Tweet Language
"Filmmaker, photographer and activist Tourmaline lenses her community of artists and friends for Dazed. Jari, Sara and Jamie wear HEAVEN by MARC JACOBS.

Photographed by Tourmaline
Styled by Tess Herbert https://t.co/9r8T6k5IsK";2020-10-08 01:04:30+00:00;10;45;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Gala wears THE PEANUTS MINI BOX BAG.

Photographed by Tyrell Hampton

September 21, 2020 in New York City.";2020-10-20 14:59:44+00:00;4;46;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Still life, featuring Joseph Carter &amp; Ryne Larson.

RUNWAY FALL 2020 MARC JACOBS is now available at MARC JACOBS MADISON.

Special thanks to all Marc Jacobs teams who worked to create this collection and installation.

Photographed by Nicolas Newbold on September 30, 2020 in NYC. https://t.co/ysRsFaFxEe";2020-10-05 20:51:57+00:00;9;43;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Sochi wears THE Hot Shot.

Photographed by Zora Sicher

August 7, 2020 in Brooklyn, New York.";2020-10-09 18:00:00+00:00;8;50;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Serena and Himi wear THE SNAPSHOT GLITTER. Shop now: https://t.co/mGtevgWhQf

Filmed by Kisshomaru Shimamura
Styled by Riku Oshima

September 4, 2020 in Chiba, Japan. https://t.co/ysWeiGtb9n";2020-10-16 14:43:41+00:00;10;57;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;et
"Sochi and Serina wear THE Teddy Small Traveler Tote.

Photographed by Zora Sicher

August 7, 2020 in Brooklyn, New York.";2020-10-09 21:00:01+00:00;4;49;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"The cherry on top 🍒 Treat yourself to Very Merry Cherry, our limited-edition holiday collection from @MarcBeauty.

Photographed by Jon Paterson
Styled by Marissa Gimeno

August 3, 2020 in Brooklyn, New York.";2020-10-17 21:00:01+00:00;4;44;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Kylie Minogue stars in THE MARC JACOBS campaign. Available now on https://t.co/lPefBl9Fnu.

Photographed by Sharna Osborne
Styled by Lotta Volkova

September 25, 2020 in London, England. https://t.co/SQ8lkMl3a2";2020-10-29 17:52:20+00:00;48;205;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"Serena and Himi wear THE SNAPSHOT. Shop now: https://t.co/1AtVyUZMyh

Filmed by Kisshomaru Shimamura
Styled by Riku Oshima

September 4, 2020 in Chiba, Japan. https://t.co/pXdeUV4oY2";2020-10-15 17:05:58+00:00;5;48;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;et
"Step forward. THE BOOT and THE GHILLIE from THE Marc Jacobs. Shop now:  https://t.co/lVXmwFC03N

Sochi and Serina photographed by Zora Sicher.

August 7, 2020 in Brooklyn, New York. https://t.co/GqYQ9XgTvn";2020-10-08 15:44:46+00:00;9;64;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;en
"THE SNAPSHOT GLITTER.

Photographed by Yuto Kudo
Styled by Riku Oshima

September 4, 2020 in Chiba, Japan.";2020-10-16 17:59:13+00:00;14;94;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760395;1257;25604;et
