Tweet Text;Tweet Datetime;Tweet Retweet Count;Tweet Favorite Count;Twitter @ name;Twitter User Location;URL in Bio;Users Current Following Count;Number of accounts user is following;Users Tweet Count;Tweet Language
"THE TEDDY SMALL TRAVELER TOTE.

Photographed by Corey Olsen

August 21, 2020 in New York City.";2020-10-21 15:10:43+00:00;11;112;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Gala wears THE PEANUTS SNAPSHOT.

Photographed by Tyrell Hampton

September 21, 2020 in New York City.";2020-10-21 13:49:21+00:00;13;72;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Gala wears THE PEANUTS SMALL TRAVELER TOTE.

Photographed by Tyrell Hampton

September 21, 2020 in New York City.";2020-10-20 18:19:32+00:00;6;49;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Gala wears THE PEANUTS MINI BOX BAG.

Photographed by Tyrell Hampton

September 21, 2020 in New York City.";2020-10-20 14:59:44+00:00;4;46;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Imaan wears THE PEANUTS SNAPSHOT.

Photographed by Tyrell Hampton



September 21, 2020 in New York City.";2020-10-19 22:00:00+00:00;3;26;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"THE PEANUTS MINI BOX BAG.

Photographed by Tyrell Hampton



September 21, 2020 in New York City.";2020-10-19 20:20:00+00:00;4;66;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Gala wears THE PEANUTS SNAPSHOT.

Photographed by Tyrell Hampton



September 21, 2020 in New York City.";2020-10-19 16:11:44+00:00;4;62;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"The cherry on top 🍒 Treat yourself to Very Merry Cherry, our limited-edition holiday collection from @MarcBeauty.

Photographed by Jon Paterson
Styled by Marissa Gimeno

August 3, 2020 in Brooklyn, New York.";2020-10-17 21:00:01+00:00;4;44;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Rich, creamy and decadent color 💋 Introducing our Very Merry Cherry edition of Le Marc Lip Crème and O!Mega Glaze from @MarcBeauty.

Photography and artistry by Morgane Martini

August 6, 2020 in Brooklyn, New York.";2020-10-17 18:00:01+00:00;4;40;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Introducing Very Merry Cherry from @MarcBeauty 🍒 Lids-to-lips favorites wrapped up in delectable, cherry-covered packaging.

Photographed by Jon Paterson
Styled by Marissa Gimeno

August 3, 2020 in Brooklyn, New York.";2020-10-17 16:00:02+00:00;27;154;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Serena and Himi wear THE SNAPSHOT GLITTER.

Photographed by Yuto Kudo
Styled by Riku Oshima

September 4, 2020 in Chiba, Japan.";2020-10-16 21:00:00+00:00;4;31;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"THE SNAPSHOT GLITTER.

Photographed by Yuto Kudo
Styled by Riku Oshima

September 4, 2020 in Chiba, Japan.";2020-10-16 17:59:13+00:00;14;94;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;et
"Serena and Himi wear THE SNAPSHOT GLITTER. Shop now: https://t.co/mGtevgWhQf

Filmed by Kisshomaru Shimamura
Styled by Riku Oshima

September 4, 2020 in Chiba, Japan. https://t.co/ysWeiGtb9n";2020-10-16 14:43:41+00:00;10;57;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;et
"THE SNAPSHOT.

Photographed by Yuto Kudo
Styled by Riku Oshima

September 4, 2020 in Chiba, Japan.";2020-10-15 21:32:51+00:00;12;359;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;et
"Serena and Himi wear THE MARC JACOBS.

Photographed by Yuto Kudo
Styled by Riku Oshima

September 4, 2020 in Chiba, Japan.";2020-10-15 19:21:02+00:00;4;52;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;et
"Serena and Himi wear THE SNAPSHOT. Shop now: https://t.co/1AtVyUZMyh

Filmed by Kisshomaru Shimamura
Styled by Riku Oshima

September 4, 2020 in Chiba, Japan. https://t.co/pXdeUV4oY2";2020-10-15 17:05:58+00:00;5;48;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;et
"In heaven with Lauren 🌟 Lauren wears the Duval Mesh Top and the Pleated Skirt from HEAVEN by MARC JACOBS.

Photographed by Ava Nirui

July 30, 2020 in Los Angeles. https://t.co/VoX3gdQOit";2020-10-15 00:34:11+00:00;12;85;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"In heaven with Chris 🌻 The New York-based graphic designer created the special Crazy Daisy artwork for HEAVEN by MARC JACOBS. Chris wears the Crazy Daisy Sweater.

Photographed by Ava Nirui

May 28, 2020 in Los Angeles. https://t.co/LPSb74T6vh";2020-10-15 00:21:40+00:00;11;44;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Devon with the Double-Headed Teddy Backpack from HEAVEN by MARC JACOBS 🧸

Photographed by Ava Nirui

July 29, 2020 in Los Angeles. https://t.co/eGmFZuE4r7";2020-10-13 00:27:09+00:00;13;90;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
“Like wearing poetry.” #EmilyinParis with THE SNAPSHOT. https://t.co/8OUXLInkqL;2020-10-12 17:39:23+00:00;78;628;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Lil Uzi in Heaven 🍭 Uzi wears the Logo Baby Tee and the Psychedelic Knit Hat from HEAVEN by MARC JACOBS.

Photographed by Hugo Scott

August 5, 2020 in New York City. https://t.co/i4u2MH3TKn";2020-10-12 14:47:04+00:00;38;238;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"THE Snapshot.

Photographed by Zora Sicher

August 7, 2020 in Brooklyn, New York.";2020-10-11 15:00:01+00:00;8;83;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Serina and Sochi wear THE Hot Shot. Shop now: https://t.co/lDTsBdPiaR

Photographed by Zora Sicher

August 7, 2020 in Brooklyn, New York. https://t.co/S3R9Dv1O4L";2020-10-10 19:00:01+00:00;4;41;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Sochi wears THE Softshot 21 Suede. Shop now: https://t.co/6FauVjtKC8

Photographed by Zora Sicher

August 7, 2020 in Brooklyn, New York. https://t.co/vF1P1M3mQ3";2020-10-10 15:00:01+00:00;7;75;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Sochi and Serina wear THE Teddy Small Traveler Tote.

Photographed by Zora Sicher

August 7, 2020 in Brooklyn, New York.";2020-10-09 21:00:01+00:00;4;49;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Sochi wears THE Hot Shot.

Photographed by Zora Sicher

August 7, 2020 in Brooklyn, New York.";2020-10-09 18:00:00+00:00;8;50;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"THE Teddy Small Traveler Tote.

Photographed by Zora Sicher

August 7, 2020 in Brooklyn, New York.";2020-10-09 15:00:01+00:00;12;98;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Serina wears THE Hot Shot. Shop now: https://t.co/yIlpfxAb1k

Photographed by Zora Sicher

August 7, 2020 in Brooklyn, New York. https://t.co/NbotvEXkV8";2020-10-08 21:00:01+00:00;7;59;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"THE Small Traveler Tote.

Photographed by Zora Sicher

August 7, 2020 in Brooklyn, New York.";2020-10-08 18:00:01+00:00;5;41;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Step forward. THE BOOT and THE GHILLIE from THE Marc Jacobs. Shop now:  https://t.co/lVXmwFC03N

Sochi and Serina photographed by Zora Sicher.

August 7, 2020 in Brooklyn, New York. https://t.co/GqYQ9XgTvn";2020-10-08 15:44:46+00:00;9;64;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Filmmaker, photographer and activist Tourmaline lenses her community of artists and friends for Dazed. Jari, Sara and Jamie wear HEAVEN by MARC JACOBS.

Photographed by Tourmaline
Styled by Tess Herbert https://t.co/9r8T6k5IsK";2020-10-08 01:04:30+00:00;10;45;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
In heaven with Bella 🌼 Bella wears the Crazy Daisy Vest from HEAVEN by MARC JACOBS. https://t.co/hRmPyuYL2A;2020-10-07 20:46:50+00:00;23;157;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
In heaven with Dua 💘 Dua wears the Crazy Daisy Sweater and Logo Baby Tee from HEAVEN by MARC JACOBS. https://t.co/bMUtysefG8;2020-10-07 16:33:05+00:00;12;142;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Celebrating the intersection of chaos and form, the rituals of getting dressed and the power of storytelling through movement.

RUNWAY FALL 2020 MARC JACOBS is now available at MARC JACOBS MADISON.

Photographed by Hugo Scott on February 12, 2020 in NYC. https://t.co/dPOt591H4E";2020-10-06 22:05:00+00:00;5;52;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Details backstage at RUNWAY FALL 2020 MARC JACOBS. Shop the collection at MARC JACOBS MADISON.

Thank you to all teams who helped create this collection, Karole Armitage and each dancer for your time, talent and enthusiasm.

Photographed by Hugo Scott on February 12, 2020 in NYC. https://t.co/0No4TUcd2f";2020-10-06 18:14:13+00:00;12;97;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Behind the scenes of RUNWAY FALL 2020 MARC JACOBS. Shop the collection at MARC JACOBS MADISON.

Thank you to all teams who helped create this collection, Karole Armitage and each dancer for your time, talent and enthusiasm.

Photographed by Hugo Scott on February 12, 2020 in NYC. https://t.co/zcWfGLWeOj";2020-10-06 17:34:21+00:00;7;70;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Still life, featuring Joseph Carter &amp; Ryne Larson.

RUNWAY FALL 2020 MARC JACOBS is now available at MARC JACOBS MADISON.

Special thanks to all Marc Jacobs teams who worked to create this collection and installation.

Photographed by Nicolas Newbold on September 30, 2020 in NYC. https://t.co/ysRsFaFxEe";2020-10-05 20:51:57+00:00;9;43;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"The mannequins in our new installation are posed in motion—an homage to our latest runway show's brilliant choreography by Karole Armitage.

RUNWAY FALL 2020 MARC JACOBS is now available at MARC JACOBS MADISON.

Photographed by Nicolas Newbold on September 30, 2020 in NYC. https://t.co/uSeHBWuWUV";2020-10-05 18:50:11+00:00;12;76;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"RUNWAY FALL 2020 MARC JACOBS | The Making of MARC JACOBS MADISON Windows

Special thanks to all Marc Jacobs teams who worked tirelessly to help create this collection and installation.

Filmed by Vaughn Vance on September 30, 2020 in New York City. https://t.co/uHk5tfSwSb";2020-10-05 16:59:00+00:00;23;86;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Make your voice heard. VOTE.

$10 from every Vote Patch sold will be donated to @WhenWeAllVote. Visit https://t.co/UxRl2Qwb6N for voting resources.

Dove photographed by Tyrell Hampton

September 20, 2020 in New York City.";2020-10-05 13:09:32+00:00;8;38;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"V is for VOTE. Get the word out with our limited-edition patch, custom-made for THE Traveler Tote.

$10 from every Vote Patch sold will be donated to @WhenWeAllVote.

Indira photographed by Tyrell Hampton

September 21, 2020 in New York City.";2020-10-04 23:30:00+00:00;6;42;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Election day is November 3 ⏰ For more information on registering, mail in voting and more visit https://t.co/UxRl2Qwb6N.

$10 from every Vote Patch sold will be donated to @WhenWeAllVote.

Noah photographed by Tyrell Hampton

September 20, 2020 in New York City.";2020-10-04 22:35:39+00:00;4;35;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"Make your voice heard—VOTE 🗣

$10 from every Vote Patch sold will be donated to @WhenWeAllVote. Visit https://t.co/UxRl2QNLYl for voting resources.

Sasha photographed by Tyrell Hampton

September 20, 2020 in New York City.";2020-10-04 01:00:00+00:00;2;36;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"THE Vote Bag ✌️ Transform your Traveler Tote with our limited-edition patch.

$10 from every Vote Patch sold will be donated to @WhenWeAllVote. Visit https://t.co/UxRl2Qwb6N for voting resources.

Photographed by Tyrell Hampton

September 20, 2020 in New York City.";2020-10-03 23:43:42+00:00;7;55;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"V is for VOTE. Get the word out with our limited-edition patch, custom-made for THE Traveler Tote. $10 from every Vote Patch sold will be donated to @WhenWeAllVote.

Jordan photographed by Tyrell Hampton

September 20, 2020 in New York City.";2020-10-03 14:58:19+00:00;6;51;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
"@SPLENDOR1999 not kidding ଘ(੭*ˊᵕˋ)੭* ̀ˋ check your messages &lt;3";2020-10-02 18:57:26+00:00;1;26;marcjacobs;NYC;https://t.co/QL97SX7SKI;8760394;1257;25604;en
